settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
13,02-mar,28/04/2026,14-18,4BNO,Lic. Scientifico Bafile,L'Aquila,presentazione manuali,1,Anita
13,02-mar,28/04/2026,14-18,"4AS,4AS-SAA",Liceo Pascal,Pompei,citizen science,4,Anita
13,02-mar,28/04/2026,15-17,5DI,IIS Amedeo D'Aosta,L'Aquila,orientamento e competenze,1,Anita
13,02-mar,28/04/2026,15-17,"4ASA,4B",Liceo Scientifico G. Galilei,Pescara,citizen science,4,Anita
13,02-mar,28/04/2026,15-19,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,3,Anita
13,03-mer,29/04/2026,8-10,"3A,3C",IIS. E. Mattei,Vasto,citizen science,5,Ida
13,03-mer,29/04/2026,8-10,"4B,5C",IIS. E. Mattei,Vasto,orientamento e competenze,1,Anita
13,03-mer,29/04/2026,8-10,"3C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,5,Anita
13,03-mer,29/04/2026,10-12,5AL,IIS PeanoRosa,Nereto,citizen science,3,Anita
13,03-mer,29/04/2026,9-13,"5F,5G",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,4,Anita
13,03-mer,29/04/2026,15-19,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,5,Andreea
13,04-gio,30/04/2026,8-10,"4C,5B",IIS. E. Mattei,Vasto,orientamento e competenze,1,Anita
13,04-gio,30/04/2026,9-13,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Andreea
13,05-ven,01/05/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,5,Anita
13,05-ven,01/05/2026,8-10,"3B,3M",Liceo Scientifico Vitruvio Pollione,Avezzano,orientamento e competenze,2,Margherita
13,05-ven,01/05/2026,11-13,"3O,4C",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,4,Ida
13,05-ven,01/05/2026,9-13,5AS,Liceo Pascal,Pompei,citizen science,5,Anita
13,06-sab,02/05/2026,8-10,5A,IIS Fermi,Sulmona,orientamento e competenze,2,Margherita
14,01-lun,04/05/2026,8-10,"3O,4C",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,5,Anita
14,01-lun,04/05/2026,9-11,"3A,3C",IIS. E. Mattei,Vasto,orientamento e competenze,1,Anita
14,01-lun,04/05/2026,9-13,"4BS,4BU",Liceo Pascal,Pompei,citizen science,5,Anita
14,01-lun,04/05/2026,14-18,5DI,IIS Amedeo D'Aosta,L'Aquila,orientamento e competenze,2,Andreea
14,01-lun,04/05/2026,15-17,4DS,Liceo Pascal,Pompei,citizen science,5,Margherita
14,02-mar,05/05/2026,8-10,"5F,5G",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,5,Anita
14,02-mar,05/05/2026,9-11,5O,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Andreea
14,02-mar,05/05/2026,11-13,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,5,Anita
14,02-mar,05/05/2026,9-13,"4A,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Andreea
14,02-mar,05/05/2026,9-13,5D,Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,1,Andreea
14,02-mar,05/05/2026,14-16,5ALSA,IIS Amedeo D'Aosta,L'Aquila,orientamento e competenze,2,Anita
14,02-mar,05/05/2026,14-18,"3CI,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,5,Anita
14,02-mar,05/05/2026,14-18,"3AtMb,3InA",IIS L.Da Vinci-De Giorgio,Lanciano,presentazione manuali,1,Ida
14,02-mar,05/05/2026,15-17,"4AS,4AS-SAA",Liceo Pascal,Pompei,citizen science,5,Anita
14,02-mar,05/05/2026,15-17,"4C,4CSA",Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,2,Anita
14,02-mar,05/05/2026,15-17,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,4,Anita
14,03-mer,06/05/2026,8-10,5AL,IIS PeanoRosa,Nereto,citizen science,4,Anita
14,03-mer,06/05/2026,8-10,"4C,5B",IIS. E. Mattei,Vasto,orientamento e competenze,2,Anita
14,03-mer,06/05/2026,14.30-16.30,"3BLSA,4ALSA",IIS Amedeo D'Aosta,L'Aquila,citizen science,5,Anita
14,03-mer,06/05/2026,15-17,"3DSA,3I",Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Anita
14,04-gio,07/05/2026,9-13,"3E,4C",Liceo Scientifico P. P. Pasolini,Potenza,presentazione manuali,1,Ida
