settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
6,01-lun,02/03/2026,8-10,3F,Liceo Scientifico Einstein,Teramo,citizen science,5,Ida
6,01-lun,02/03/2026,8-10,4B,Liceo Scientifico G. Galilei,Pescara,citizen science,3,Andreea
6,01-lun,02/03/2026,8-10,4CSA,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Andreea
6,01-lun,02/03/2026,8-10,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,3,Andreea
6,01-lun,02/03/2026,8-10,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,5,Anita
6,01-lun,02/03/2026,10-12,"3O,5F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,4,Anita
6,01-lun,02/03/2026,9-13,"4AS,4BU",Liceo Pascal,Pompei,citizen science,4,Andreea
6,01-lun,02/03/2026,9-13,4AS-SAA,Liceo Pascal,Pompei,citizen science,4,Anita
6,01-lun,02/03/2026,9-13,4BS,Liceo Pascal,Pompei,citizen science,4,Anita
6,01-lun,02/03/2026,9-13,5AS,Liceo Pascal,Pompei,citizen science,5,Andreea
6,01-lun,02/03/2026,9-13,4A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Andreea
6,01-lun,02/03/2026,9-13,"5AM,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Ida
6,01-lun,02/03/2026,15-17,4CU,Liceo Pascal,Pompei,citizen science,3,Margherita
6,01-lun,02/03/2026,15-17,"4DS,5BS",Liceo Pascal,Pompei,citizen science,5,Anita
6,01-lun,02/03/2026,15-19,3A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Ida
6,01-lun,02/03/2026,15.30-17.30,4C,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Andreea
6,02-mar,03/03/2026,8-10,3GL,IIS PeanoRosa,Nereto,citizen science,3,Anita
6,02-mar,03/03/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,4,Anita
6,02-mar,03/03/2026,8-10,3A,IIS. E. Mattei,Vasto,citizen science,5,Andreea
6,02-mar,03/03/2026,8-10,"5B,5C",IIS. E. Mattei,Vasto,sensibilizzazione discriminazioni di genere,1,Ida
6,02-mar,03/03/2026,8-10,4ASA,Liceo Scientifico G. Galilei,Pescara,citizen science,4,Ida
6,02-mar,03/03/2026,8-10,"5D,5O",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Andreea
6,02-mar,03/03/2026,8-10,5E,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,5,Anita
6,02-mar,03/03/2026,10-12,3AtMb,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,5,Ida
