classe_id,classe_nome,scuola_nome,laboratorio_id,laboratorio_nome,incontro_num,formatrice_id,formatrice_nome,settimana,giorno_num,giorno_nome,fascia_num,fascia_nome,slot,data_ora,accorpata_con
48,4C,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2,4,Margherita,3,0,Lunedì,1,Mattino1,181,16/02/2026 09:00-11:00,4CSA
73,3A,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2,2,Andreea,3,0,Lunedì,1,Mattino1,181,16/02/2026 09:00-11:00,3C
74,3C,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2,2,Andreea,3,0,Lunedì,1,Mattino1,181,16/02/2026 09:00-11:00,3A
31,4CU,Liceo Pascal,4,citizen science,1,3,Ida,3,0,Lunedì,2,Mattino2,182,16/02/2026 11:00-13:00,5BS
43,3DSA,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2,4,Margherita,3,0,Lunedì,2,Mattino2,182,16/02/2026 11:00-13:00,5C
51,5C,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2,4,Margherita,3,0,Lunedì,2,Mattino2,182,16/02/2026 11:00-13:00,3DSA
75,3E,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2,2,Andreea,3,0,Lunedì,2,Mattino2,182,16/02/2026 11:00-13:00,5E
81,5E,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2,2,Andreea,3,0,Lunedì,2,Mattino2,182,16/02/2026 11:00-13:00,3E
8,5DNO,Lic. Scientifico Bafile,4,citizen science,5,1,Anita,3,2,Mercoledì,1,Mattino1,205,18/02/2026 09:00-11:00,
44,3I,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,1,2,Andreea,3,2,Mercoledì,1,Mattino1,205,18/02/2026 09:00-11:00,
19,5AtIB,IIS L.Da Vinci-De Giorgio,7,sensibilizzazione discriminazioni di genere,2,1,Anita,3,2,Mercoledì,2,Mattino2,206,18/02/2026 11:00-13:00,
55,4F,Liceo Scientifico Leonardo da Vinci,4,citizen science,1,1,Anita,3,2,Mercoledì,3,Pomeriggio,207,18/02/2026 14:00-16:00,5G
61,5G,Liceo Scientifico Leonardo da Vinci,4,citizen science,1,1,Anita,3,2,Mercoledì,3,Pomeriggio,207,18/02/2026 14:00-16:00,4F
1,3A,IIS. E. Mattei,4,citizen science,3,1,Anita,3,3,Giovedì,1,Mattino1,217,19/02/2026 09:00-11:00,4B
3,4B,IIS. E. Mattei,4,citizen science,3,1,Anita,3,3,Giovedì,1,Mattino1,217,19/02/2026 09:00-11:00,3A
21,3GL,IIS PeanoRosa,8,presentazione manuali,1,1,Anita,3,5,Sabato,1,Mattino1,241,21/02/2026 09:00-11:00,4GL
33,5BS,Liceo Pascal,4,citizen science,5,3,Ida,3,5,Sabato,1,Mattino1,241,21/02/2026 09:00-11:00,4CU
53,4C,Liceo Scientifico Leonardo da Vinci,4,citizen science,4,2,Andreea,3,5,Sabato,1,Mattino1,241,21/02/2026 09:00-11:00,4G
28,4BS,Liceo Pascal,4,citizen science,4,3,Ida,3,5,Sabato,2,Mattino2,242,21/02/2026 11:00-13:00,5AS
34,5AS,Liceo Pascal,4,citizen science,1,1,Anita,3,5,Sabato,2,Mattino2,242,21/02/2026 11:00-13:00,4BS
22,3CL,IIS PeanoRosa,4,citizen science,4,4,Margherita,3,5,Sabato,3,Pomeriggio,243,21/02/2026 14:00-16:00,4GL
23,4GL,IIS PeanoRosa,4,citizen science,4,4,Margherita,3,5,Sabato,3,Pomeriggio,243,21/02/2026 14:00-16:00,3CL
70,3D,Liceo Scientifico e Linguistico M.Curie,4,citizen science,3,1,Anita,3,5,Sabato,3,Pomeriggio,243,21/02/2026 14:00-16:00,5C
