settimana,classe_id,classe,scuola,lab_id,laboratorio,num_incontri_lab
9,28,4BS,Liceo Pascal,4,citizen science,5
10,28,4BS,Liceo Pascal,4,citizen science,5
11,28,4BS,Liceo Pascal,5,orientamento e competenze,2
13,28,4BS,Liceo Pascal,5,orientamento e competenze,2
14,28,4BS,Liceo Pascal,4,citizen science,5
15,28,4BS,Liceo Pascal,8,presentazione manuali,1
2,30,4BU,Liceo Pascal,5,orientamento e competenze,2
5,30,4BU,Liceo Pascal,4,citizen science,5
6,30,4BU,Liceo Pascal,4,citizen science,5
7,30,4BU,Liceo Pascal,4,citizen science,5
9,30,4BU,Liceo Pascal,4,citizen science,5
11,30,4BU,Liceo Pascal,8,presentazione manuali,1
14,30,4BU,Liceo Pascal,5,orientamento e competenze,2
15,30,4BU,Liceo Pascal,4,citizen science,5
3,31,4CU,Liceo Pascal,5,orientamento e competenze,2
4,31,4CU,Liceo Pascal,4,citizen science,5
5,31,4CU,Liceo Pascal,4,citizen science,5
8,31,4CU,Liceo Pascal,4,citizen science,5
9,31,4CU,Liceo Pascal,4,citizen science,5
11,31,4CU,Liceo Pascal,8,presentazione manuali,1
12,31,4CU,Liceo Pascal,5,orientamento e competenze,2
13,31,4CU,Liceo Pascal,4,citizen science,5
1,32,4DS,Liceo Pascal,4,citizen science,5
3,32,4DS,Liceo Pascal,4,citizen science,5
4,32,4DS,Liceo Pascal,8,presentazione manuali,1
5,32,4DS,Liceo Pascal,4,citizen science,5
9,32,4DS,Liceo Pascal,4,citizen science,5
12,32,4DS,Liceo Pascal,4,citizen science,5
8,34,5AS,Liceo Pascal,8,presentazione manuali,1
9,34,5AS,Liceo Pascal,4,citizen science,5
10,34,5AS,Liceo Pascal,4,citizen science,5
12,34,5AS,Liceo Pascal,4,citizen science,5
13,34,5AS,Liceo Pascal,4,citizen science,5
15,34,5AS,Liceo Pascal,4,citizen science,5
1,33,5BS,Liceo Pascal,8,presentazione manuali,1
2,33,5BS,Liceo Pascal,4,citizen science,5
3,33,5BS,Liceo Pascal,4,citizen science,5
6,33,5BS,Liceo Pascal,4,citizen science,5
7,33,5BS,Liceo Pascal,4,citizen science,5
11,33,5BS,Liceo Pascal,4,citizen science,5
1,35,3D,Liceo Scientifico Einstein,8,presentazione manuali,1
2,35,3D,Liceo Scientifico Einstein,5,orientamento e competenze,2
9,35,3D,Liceo Scientifico Einstein,5,orientamento e competenze,2
1,36,3F,Liceo Scientifico Einstein,4,citizen science,5
4,36,3F,Liceo Scientifico Einstein,4,citizen science,5
6,36,3F,Liceo Scientifico Einstein,4,citizen science,5
7,36,3F,Liceo Scientifico Einstein,4,citizen science,5
8,36,3F,Liceo Scientifico Einstein,8,presentazione manuali,1
14,36,3F,Liceo Scientifico Einstein,4,citizen science,5
1,37,3G,Liceo Scientifico Einstein,4,citizen science,5
2,37,3G,Liceo Scientifico Einstein,4,citizen science,5
8,37,3G,Liceo Scientifico Einstein,4,citizen science,5
11,37,3G,Liceo Scientifico Einstein,4,citizen science,5
13,37,3G,Liceo Scientifico Einstein,8,presentazione manuali,1
15,37,3G,Liceo Scientifico Einstein,4,citizen science,5
3,38,4B,Liceo Scientifico Einstein,5,orientamento e competenze,2
4,38,4B,Liceo Scientifico Einstein,5,orientamento e competenze,2
13,38,4B,Liceo Scientifico Einstein,8,presentazione manuali,1
3,39,4D,Liceo Scientifico Einstein,8,presentazione manuali,1
11,39,4D,Liceo Scientifico Einstein,5,orientamento e competenze,2
12,39,4D,Liceo Scientifico Einstein,5,orientamento e competenze,2
10,40,4G,Liceo Scientifico Einstein,5,orientamento e competenze,2
11,40,4G,Liceo Scientifico Einstein,5,orientamento e competenze,2
15,40,4G,Liceo Scientifico Einstein,8,presentazione manuali,1
6,41,5A,Liceo Scientifico Einstein,8,presentazione manuali,1
7,41,5A,Liceo Scientifico Einstein,5,orientamento e competenze,2
8,41,5A,Liceo Scientifico Einstein,5,orientamento e competenze,2
2,42,5G,Liceo Scientifico Einstein,5,orientamento e competenze,2
9,42,5G,Liceo Scientifico Einstein,5,orientamento e competenze,2
10,42,5G,Liceo Scientifico Einstein,8,presentazione manuali,1
1,43,3DSA,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
5,43,3DSA,Liceo Scientifico G. Galilei,8,presentazione manuali,1
11,43,3DSA,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
14,43,3DSA,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
15,43,3DSA,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
2,44,3I,Liceo Scientifico G. Galilei,8,presentazione manuali,1
3,44,3I,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
7,44,3I,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
8,44,3I,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
14,44,3I,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
1,45,4ASA,Liceo Scientifico G. Galilei,4,citizen science,5
4,45,4ASA,Liceo Scientifico G. Galilei,4,citizen science,5
5,45,4ASA,Liceo Scientifico G. Galilei,4,citizen science,5
10,45,4ASA,Liceo Scientifico G. Galilei,8,presentazione manuali,1
12,45,4ASA,Liceo Scientifico G. Galilei,4,citizen science,5
14,45,4ASA,Liceo Scientifico G. Galilei,4,citizen science,5
1,46,4B,Liceo Scientifico G. Galilei,4,citizen science,5
3,46,4B,Liceo Scientifico G. Galilei,4,citizen science,5
4,46,4B,Liceo Scientifico G. Galilei,4,citizen science,5
5,46,4B,Liceo Scientifico G. Galilei,4,citizen science,5
13,46,4B,Liceo Scientifico G. Galilei,4,citizen science,5
15,46,4B,Liceo Scientifico G. Galilei,8,presentazione manuali,1
1,47,4BSA,Liceo Scientifico G. Galilei,4,citizen science,5
2,47,4BSA,Liceo Scientifico G. Galilei,4,citizen science,5
3,47,4BSA,Liceo Scientifico G. Galilei,8,presentazione manuali,1
4,47,4BSA,Liceo Scientifico G. Galilei,4,citizen science,5
8,47,4BSA,Liceo Scientifico G. Galilei,4,citizen science,5
13,47,4BSA,Liceo Scientifico G. Galilei,4,citizen science,5
2,48,4C,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
3,48,4C,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
5,48,4C,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
7,48,4C,Liceo Scientifico G. Galilei,8,presentazione manuali,1
8,48,4C,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
3,49,4CSA,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
6,49,4CSA,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
7,49,4CSA,Liceo Scientifico G. Galilei,8,presentazione manuali,1
8,49,4CSA,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
15,49,4CSA,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
2,50,4H,Liceo Scientifico G. Galilei,4,citizen science,5
6,50,4H,Liceo Scientifico G. Galilei,4,citizen science,5
8,50,4H,Liceo Scientifico G. Galilei,4,citizen science,5
10,50,4H,Liceo Scientifico G. Galilei,8,presentazione manuali,1
12,50,4H,Liceo Scientifico G. Galilei,4,citizen science,5
15,50,4H,Liceo Scientifico G. Galilei,4,citizen science,5
1,51,5C,Liceo Scientifico G. Galilei,8,presentazione manuali,1
3,51,5C,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
4,51,5C,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
7,51,5C,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2
9,51,5C,Liceo Scientifico G. Galilei,5,orientamento e competenze,2
1,52,3O,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
2,52,3O,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
3,52,3O,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
